n0_perception n2_puzzle_help n2_puzzle_levels_lost n2_puzzle_levels_won n2_puzzle_max_level n2_puzzle_mean_time_played n2_puzzle_movs n2_puzzle_timeout n2_memory_levels_lost n2_memory_levels_won n2_memory_max_level n2_memory_mean_time_played n2_memory_time_played n2_memory_timeout n2_memory_turns_played n2_concrete_levels_won n2_concrete_mean_time_played n2_concrete_time_played n2_concrete_timeout n2_concrete_turns_played n2_abstract_levels_won n2_abstract_max_level n2_abstract_mean_time_played n2_abstract_timeout n2_abstract_turns_played 
       3      11      39      15       1   21211     510       *       9      26      11    8671  303505       *      35      51   13251  768574       1      58      25      30   30365       *       3
       3       6      19      11       5  281463     119       *       4      11       6    1894  166171       *       5      48   21180  499066       1      24     -11      18 -282839       *      82
       3       2       5      12       9  133649     211       *       2       6       4    9800   78401       *       8      21   12804  294505       1      23       9       6   17362       1      13
       3       2       7      11       9  112080     223       *       4      10       4   10004  140060       *      14      20   21057  421143       1      20      27       6   14302       *      36
       3       1      22      10       8  106317     358       *       5      10       4    7451  111766       *      15      32   20060 1048117       1      37       7       6   15143       *       9
       3       2       2       9       9  112113     142       *       1       6       7    9661   67631       *       7      -4    6703   67312       2      43      52       0  273183       *      76
       3       6      -3       4       3   53852      52       *       2       7       5    9582   86241       *       9      31    9610  317159       1      33      18       9   23428       1      32
       5       *       0       5       5   41718      65       *       4       9       3    7215   93807       *      13       9   16705  295270       *      20      24       8 -236042       *      74
       5       *      10       2       1   12638      97       *       1       1       1    4884    9768       *       2      18   24342  462510       1      19       9      15  599156       *     -38
       5       *       1       4       1   42923      88       *       2       1       2    6776   75961       *       1      17   21001  253343       *       9      27      30   30988       *       1
       5       *       1       0       0   56225     103       *       2       3       2    6161   30805       *       5      13   18479  159277       *       7       1       1   44194       1       2
       5       *       2      -1       0   78385      73       1       4       6       3    7294   72940       *      10      13   15785  394080       *      19      15      15   17509       *      18
       5       *       1       8       3   10305       0       *       1       1       2    6023   56905       *      10       8   28098  160103       *      13      25      12   53618       *       1
       5       *       6       2       2   60977      15       *       2       3       1    6740   55639       *       5      10    9608  134524       *      14       4       4   23634       *       6
       5       *       1      -1      -2   36281      12       *       2       2       1    5402   21609       *       4      20   26966   60696       *      17      19      14   88401       *      34
       5       *       2       4       2   32162      36       *       2       4       2    7883   47302       *       6      21   18127  194568       *       9       3       3   12974       *       5
       5       *       3       2       1   52785     109       *       4       7       2    6310   69411       *      11      15   25665  314932       *      19      32      15   16337       *      36
       5       *       9       6       1   65528      25       *       3       9       2    4980   52006       *       4      10   28419  179255       *      15      12       4   17374       *       1
       5       *       0       5       7   26399     175       *       1       6       3    4841   33888       *       7       9   17207  -23543       *       7       6       2    6263       *      17
       7       *       3      11       9   82300     233       1       1       2       2    6721  -17077       *       1      11   32362  355988       *      11      48      29 1219868       *     124
       7       *       6       3       1   22732      60       *       2       2       2    7245   28981       *       4      11   27286  327438       *      12      33       5  282228       *      -7
       7       *       9       2       1   30737     115       *       3       7       2    7199   67406       *       4      18   13930  278618       *      20      14      13   19945       *      20
       7       *      10       1       1   23110      53       *       0       5       1    4744   23720       *      11      17   10414  177040       *      17      16      12   11616       *      21
       7       *       1       1       1   45394      22       *       2       7       1    5623   -7759       *       5       5   12066  526735       *      20      16       7   14015       *      20
       9       *       1       7       2   72652      91       *       1       2       2    5473    3649       *       0       7    9884  332450       *      12       3       3   12812       *       5
       9       *       3       1       1   62938     199       *       3       5       2    6574   18295       *       8      13   13845   29496       *      13      18       6   21286       *      24
       9       *       6       6       5   33318     112       *       2       4       3    6628   39772       *       6      15   21461  407761       *      19      30      18 1234551       *      61
       9       *       8       1       1   47112     108       *       3       7       2    7078   25301       *       6      13   23443  389514       *      20      22      17   23406       *       2
       9       *       5       2       1   24689      21       *       1       4       1    6782    7579       *       6       3   32575   97726       *       3       4       4   11162       *       7
      11       *       6       4       0    6051     -17       *       1       3       1    4927   45774       *       6       8   13301  120503       *      11      -2      17   56958       *       3
